idx,comment,emotion,date,url
13,"ارونح مرسسي علخر علخر والله 💗💗💗💗💖💖💖 
خاطر بلحق ما يتفكرني حد كان انتي 
و كونكسيون متاعك عسل تشدلي ب3 جمعات 
واهم حاجه انو كي يطلبني شكون ميفيقاش بيا كنت نحكي لا تجيه اوكيبي ولا ان اتونت :* :* ربي يخليكم اما بلاهي نقصو شوي من ميساجات متاع مساطه هو انتخابات هو عيد شجره هو استقلال 
اما بلاهي لا تنساني في عيد لحب :*",positive,2018-01-02T20:19:17+0000,https://www.facebook.com/298166859034_10155976149264035
14,إو جبتها وجيت,negative,2018-01-07T19:31:31+0000,https://www.facebook.com/298166859034_10155989329394035
15,بجاه ربي  علاش السرقة ديما تعملولي فيها نصب كارتة ومن بعد تبدا تسرقولي منها لين توفا من غير منعمل بيها شي تبعثولي ميساجات وتهزو حقها من عندي علاش ومنحبش نعمل توناليتي تعملوهالي بالسيف ومنحبش العاب تعملولي اكسابت منغير منوافق افزح ربي يهديك يا اورونج,negative,2018-01-07T10:12:15+0000,https://www.facebook.com/298166859034_10155988413404035
16,بلهي بش نسلك كي يبد لواحد يتذضلم فلبوتيك كيفاش يخو حقو,negative,2018-01-07T15:02:07+0000,https://www.facebook.com/298166859034_10155988413404035
17,كاذبين ديما نشارك و شئ تربحو بالمعارف,negative,2018-01-06T10:20:28+0000,https://www.facebook.com/298166859034_10155985877804035
18,"بالله عليكم  اعملو حل 
فديت منكم 
4 فايسبوك تأكل اكثر من 1G وهذا لكل نستعمل في البيس متاعي 
شهر لفات 10 G في 10 ايام",negative,2018-01-05T00:25:45+0000,https://www.facebook.com/298166859034_10155981320529035
19,Yeser tsr9ou 1G matchedch hâta jem3a,negative,2018-01-03T22:07:24+0000,https://www.facebook.com/298166859034_10155977679374035
20,كان كذب فيكم يااورنج زعم زعم تحب تفرهدون وتفرحون ونهار الكل تبعثولون في الميسجات علاش تكذبوا قولوا الحقيقةد,negative,2018-01-03T22:16:21+0000,https://www.facebook.com/298166859034_10155976149264035
21,wel sirka 3ini 3inik chnowa namlo feha !??,negative,2018-01-02T15:03:17+0000,https://www.facebook.com/298166859034_10155975213409035
22,مع أرونج الربح ممنوع,negative,2018-01-02T10:09:13+0000,https://www.facebook.com/298166859034_10155975213409035
23,"servickom ka3ba la f aindraham,connexion dima tay7a.ana w 3ayelti w as7abi 5dhina decision bech nbadlou un autre operateur",negative,2018-01-02T10:02:39+0000,https://www.facebook.com/298166859034_10155975213409035
24,"7asnou service w sayeb 3likom mel koura,matefehmouhach.e5dmou 5edmtk 3ychkm,lahna f aindraham connexion 7moum,dima tay7a",negative,2018-01-02T18:52:52+0000,https://www.facebook.com/298166859034_10155975213409035
25,اورونج العار بالرسمي...كونيكسيون تعيف معدل القصان في النهار 450 مرة و كي تكلم السرفيس تكنيك يبعثوك تقضي و كل واحد يعطيك كلام..فريمون الواحد يشوف فورنيسار اخر خير خاطر العباد تخلص في الكونيكسيون و انا نخلص في الكوبير,negative,2018-01-02T17:05:27+0000,https://www.facebook.com/298166859034_10155975213409035
26,"Bonsoir, j'ai transformé des points cadeaux(800) vers 500 mo internet, mais le code qui m'a apparait pour consulter mon solde internet c'est *101*12#, mais il n'est pas valide pour cette opération.",negative,2018-01-02T19:56:17+0000,https://www.facebook.com/298166859034_10155975213409035
27,علامة أورنج أخي بدلتلي البيس أوريدو يا خي كي حليتها لقيتها هورنج مافهمت شيء,negative,2018-01-02T21:23:16+0000,https://www.facebook.com/298166859034_10155976149264035
28,orange rebhet,negative,2018-01-02T21:52:09+0000,https://www.facebook.com/298166859034_10155975213409035
29,Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange,positive,2018-01-05T16:48:32+0000,https://www.facebook.com/298166859034_10155976149264035
30,😍❤❤,positive,2018-01-04T19:26:25+0000,https://www.facebook.com/298166859034_10155975213409035
31,Orange rebhet,negative,2018-01-02T21:52:09+0000,https://www.facebook.com/298166859034_10155975213409035
32,rakom kathertoulha bi sir9a jme3it orange,negative,2018-01-02T10:47:47+0000,https://www.facebook.com/298166859034_10155975213409035
33,merci.orange,positive,2018-01-02T10:34:09+0000,https://www.facebook.com/298166859034_10155975213409035
34,Ok 👍👍,positive,2018-01-09T18:46:25+0000,https://www.facebook.com/298166859034_10155994016649035
35,Fatiguée 😑,negative,2018-01-08T21:06:18+0000,https://www.facebook.com/298166859034_10155991701199035
36,Chbi waldikom orange?!!! La nhar taamlo haja tenfaa3!,negative,2018-01-03T16:31:17+0000,https://www.facebook.com/298166859034_10155977679374035
37,bonne année orange,positive,2018-01-02T15:38:30+0000,https://www.facebook.com/298166859034_10155973690964035
38,كل عام وانت بخير اورنج وخيتي راكي مرضتني,negative,2018-01-01T10:02:15+0000,https://www.facebook.com/298166859034_10155972525899035
39,ربح بالوجوه يزي من كذيب,negative,2018-01-09T22:10:16+0000,https://www.facebook.com/298166859034_10155994451819035
40,magnifique a quel prix,positive,2018-01-02T00:07:05+0000,https://www.facebook.com/298166859034_10155972525899035
41,الغلي و الكوي,negative,2018-01-01T10:23:31+0000,https://www.facebook.com/298166859034_10155972525899035
42,bonne année orange j espere que votre service technique s améliore c catastrophique j ai l adsl le réseau  à 97 pour cent est zéro tout le  temps je réclame enfin aeiiiiittttttt,positive,2018-01-01T11:18:31+0000,https://www.facebook.com/298166859034_10155970069549035
43,bonne annee orange ena 3andi 05 pus w dima nal3ab m3akom w ma3labelich nerbeh wella lee vive orange,positive,2018-01-01T11:42:53+0000,https://www.facebook.com/298166859034_10155970069549035
44,انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2018-01-01T11:10:31+0000,https://www.facebook.com/298166859034_10155970069549035
45,انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2018-01-01T10:16:44+0000,https://www.facebook.com/298166859034_10155970069549035
46,nchala 3amkom mabrouke orange nchala trabhona fi haja we nchala dima farhanin we tishale oumore,positive,2018-01-01T02:34:55+0000,https://www.facebook.com/298166859034_10155970069549035
47,انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2017-12-31T23:47:12+0000,https://www.facebook.com/298166859034_10155970069549035
48,3malt m3akom jaw 3alami nahitouli flousi kima habitou w chthitou  kol chhar w ana nejri n5ales fel flybox,negative,2017-12-31T22:02:32+0000,https://www.facebook.com/298166859034_10155970069549035
49,احلئ جو تعدئ مع اورنج هو عام سنا ربحت فيه انترنات ربحت فيه بطاقة شحن هاتف وربحت فيه تليفون من نوع رفيع مرسي اورنج انشالله ديما منورين والمزيد من تالق والعمل اورنج يمهبلتنا بافرياتك,positive,2017-12-31T21:53:02+0000,https://www.facebook.com/298166859034_10155970069549035
50,3amalt barcha jaw m3akoum 3am 2017 winchallah n3awdou 3am 2018 m3a les cadeaux mte3koum,positive,2017-12-31T21:45:12+0000,https://www.facebook.com/298166859034_10155970069549035
51,dima namele lé commontaire  fel les jeux lkoule ou manthasele ala chaye am tokadou dima behine💕💜,positive,2018-01-01T00:32:00+0000,https://www.facebook.com/298166859034_10155970069549035
52,tii mnin brabi jaw dima nal3eb m3ekom w jamais rbe7et mnkom 7eja bera8em 3andi 2 pus orange w airbox ma3neha client w chy,negative,2017-12-31T23:10:31+0000,https://www.facebook.com/298166859034_10155970069549035
53,اورونج إن شاء الله كل عام وانت بخير وتكون متألقة دائما,positive,2018-01-01T13:06:12+0000,https://www.facebook.com/298166859034_10155970069549035
54,adsl mta3kom nja7 hugh...salaktouha,positive,2017-12-31T21:38:30+0000,https://www.facebook.com/298166859034_10155970069549035
55,متعاقدين معاكم من عامين ونتمنى نربح حتى تلفون هههههههه في العام الجدي,positive,2018-01-01T12:30:08+0000,https://www.facebook.com/298166859034_10155970069549035
56,ra8mli marb7t me3akom hata chay ama bravo 5ir men barcha,positive,2018-01-01T00:23:01+0000,https://www.facebook.com/298166859034_10155970069549035
57,t9oulou taw terb7ou w mathamma shay😒😒,negative,2017-12-31T22:36:14+0000,https://www.facebook.com/298166859034_10155970069549035
58,"bonne année orange, beaucoup de réussite ...",positive,2018-01-01T11:10:53+0000,https://www.facebook.com/298166859034_10155970069549035
59,3amelt ma3koum a7la jaw nachah 3amkoum mabrouk orange,positive,2018-01-01T14:01:45+0000,https://www.facebook.com/298166859034_10155970069549035
60,"Problème de connexion avec les sites internationaux en 4G !!! echnouwa  hedha! echnouwa ye5i Facebook, Youtube , twitter welbe9i ma3andenech el7a9??!!",positive,2018-01-09T18:10:08+0000,https://www.facebook.com/298166859034_10155990710899035
61,"حسبنا الله ونعم الوكيل في الزيادات 

اعطوه على راسوا التونسي راهو مازال يتحمل",negative,2017-12-31T21:42:24+0000,https://www.facebook.com/298166859034_10155970629739035
62,Normalement Orange ntouma hakeka tetsarfou m3ana fel les services el 7moum mte3kom,negative,2018-01-08T06:14:54+0000,https://www.facebook.com/298166859034_10155989329394035
63,بجاه ربي  علاش السرقة ديما تعملولي فيها نصب كارتة ومن بعد تبدا تسرقولي منها لين توفا من غير منعمل بيها شي تبعثولي ميساجات وتهزو حقها من عندي علاش ومنحبش نعمل توناليتي تعملوهالي بالسيف ومنحبش العاب تعملولي اكسابت منغير منوافق افزح ربي يهديك يا اورونج,negative,2018-01-07T10:12:15+0000,https://www.facebook.com/298166859034_10155988413404035
64,ماعناش الحق في الربح,negative,2018-01-03T12:02:10+0000,https://www.facebook.com/298166859034_10155977679374035
65,والله العظيم تعطيو في الكادوات بالوجوه صحة ليكم واحنا منربحوش حتى شي عله,negative,2018-01-10T06:26:15+0000,https://www.facebook.com/298166859034_10155994451819035
66,"اقسم بأنني اوال انسان سوف يقاطع الكونكسيون  على الزيادات والاستكراش على الشعب المسكين نعلبوا الكونكسيون

على فكرة اسألوا اورنج قداش نستهلك بخلاف اولادي

هالبلاد مشات في هاوية الزيادات اقسم او فرصة في الهجرة سوف ارحل نعل................",negative,2017-12-31T21:28:40+0000,https://www.facebook.com/298166859034_10155970164834035
67,Triste car j'ai pas gainer aucune chose avec Orange malgré que je suis client fidèle,negative,2018-01-08T19:09:24+0000,https://www.facebook.com/298166859034_10155991701199035
68,علاش السرقة,negative,2017-12-31T20:43:30+0000,https://www.facebook.com/298166859034_10155970164834035
69,كل عام وانت بخير و انشاء الله يتعدى عليك عام حلو و كلو فرحة 344,positive,2017-12-31T21:00:06+0000,https://www.facebook.com/298166859034_10155970164834035
70,والله العظيم تعطيو في الكادوات بالوجوه صحة ليكم واحنا منربحوش حتى شي عله,negative,2018-01-10T06:26:15+0000,https://www.facebook.com/298166859034_10155994451819035
71,"أحلا جوا مع احلا اورنج
انشاء الله تربح معاك",positive,2018-01-10T10:00:14+0000,https://www.facebook.com/298166859034_10155991701199035
72,يا خي كيفناه نعرف الpoints cadeaux متاعي ، و شنو انجم نشري بيهم ؟,positive,2017-12-31T13:40:49+0000,https://www.facebook.com/298166859034_10155968427169035
73,يا اورنج بعثتولي كريدي من غير ما طلبتو وليت نصب 5dوانتم تنحو منهم مرتين 1740مشيت للسرفيس متاعكم باش ندسكتيفيها الحكاية يخي بقا الحال على ماهو عليه تعملو مزية شوفولي حل اما كانش خنشوف بيس اخرى ومخي رايض,negative,2017-12-31T13:29:05+0000,https://www.facebook.com/298166859034_10155968427169035
74,يا خي كيفناه نعرف الpoints cadeaux متاعي ، و شنو انجم نشري بيهم ؟,positive,2018-01-01T02:26:28+0000,https://www.facebook.com/298166859034_10155968427169035
75,يا خي كيفناه نعرف الpoints cadeaux متاعي ، و شنو انجم نشري بيهم ؟,positive,2017-12-31T14:46:40+0000,https://www.facebook.com/298166859034_10155968427169035
76,"la bonané la chay
7assnou fel service mte3kom
el debit mte3i dima 2mb alors que ena 4mb",negative,2017-12-31T14:20:01+0000,https://www.facebook.com/298166859034_10155968427169035
77,"كيفاه نبدل للفورفاي متاع "" تستهلك 5000 انترنات تجيك 5000 مكالمات "" 
ان شاء الله عامكم مبروك",positive,2017-12-31T13:01:25+0000,https://www.facebook.com/298166859034_10155968427169035
78,اورونج هذي اكثر شركة تسراق في لفلوس و كل شي لا وزيد ريزو فضيحة و كونكسيون هذيكا قلتلهم اسكتو نهار لكل وهما يسرقو,negative,2017-12-31T12:29:22+0000,https://www.facebook.com/298166859034_10155968427169035
79,hram alikomm raww chlhalaa nsobb cnxx taa nharr to9eedlii see3tyyyn o manghyyrr le vidéo le chayyy 😒😒 hramm wlhh,negative,2017-12-31T11:44:01+0000,https://www.facebook.com/298166859034_10155968427169035
80,je regrette de vs avoir comme fournisseur adsl ça fait un mois que je fais des réclamations mais rien à faire. on me dirige vers le 31111150 qui ne répond jamais.,negative,2018-01-02T19:02:09+0000,https://www.facebook.com/298166859034_10155968427169035
81,slm 3laykom ena awel mara nod5ol l page orange speciallement 5ater yaser kathroulha b ser9a alah la tberkelkom w bch nbadel pus yezi,negative,2018-01-01T12:38:48+0000,https://www.facebook.com/298166859034_10155968427169035
82,birasmi orange yesire sere9a tsobe bdinare finharine lbonuse m3adeche tal9ahome telekome we ooredoo 5ire bsara7a,negative,2017-12-31T12:43:35+0000,https://www.facebook.com/298166859034_10155968427169035
83,"اهلا اورونج
نحب نولي اورونج لاكن خايفه علاما قريت 
زعما صحيح الي تقال على شبكتكم؟
وشكرا",negative,2017-12-31T12:43:24+0000,https://www.facebook.com/298166859034_10155968427169035
84,اورنج شبيكم صبيت 12دينار باش نعدي كونكسيون نحيتولي 25 فرنك علاه !,negative,2017-12-31T09:21:43+0000,https://www.facebook.com/298166859034_10155968427169035
85,سلام اورونج عندكم بوانات كيما تيليكوم ولا,negative,2017-12-31T11:41:54+0000,https://www.facebook.com/298166859034_10155968427169035
86,aaslema orange aaleh réseau dima y9os hata fi boq3a fyha réseau ! ?,negative,2017-12-31T11:40:46+0000,https://www.facebook.com/298166859034_10155968427169035
87,chbikom kif 9oltlkom sbeitla mafihech reseau orange majawebtonich?,negative,2017-12-31T12:05:59+0000,https://www.facebook.com/298166859034_10155968427169035
88,salem billehi ena insob 5000 fisah touf fahmouni alech merci,negative,2017-12-31T16:38:52+0000,https://www.facebook.com/298166859034_10155968427169035
89,salam orange na7ab na3raf point cadeaux,positive,2017-12-31T18:42:37+0000,https://www.facebook.com/298166859034_10155968427169035
90,belehi la3at teser9ouni rani zaweli,negative,2017-12-31T12:03:35+0000,https://www.facebook.com/298166859034_10155968427169035
91,اهل ؤرونج نشالله عامكم مبروك,positive,2017-12-31T14:35:36+0000,https://www.facebook.com/298166859034_10155968427169035
92,bech injib walid il tounsi il darna w na93ad fi dar netfarej 3alih,positive,2017-12-30T20:55:05+0000,https://www.facebook.com/298166859034_10155966885559035
93,net3acha w nekel gâteau w nor9od 😴😴😴,positive,2017-12-30T19:24:16+0000,https://www.facebook.com/298166859034_10155966885559035
94,belehi jewebni ya orange,negative,2017-12-30T20:36:23+0000,https://www.facebook.com/298166859034_10155966885559035
95,Orange وقتاش قرعة my orange ?,positive,2017-12-30T17:47:45+0000,https://www.facebook.com/298166859034_10155966216709035
96,Wa9teh lcadeau jey ??,positive,2017-12-31T11:09:07+0000,https://www.facebook.com/298166859034_10155966216709035
97,Famech points merci 😟😟😟😟😟,negative,2017-12-30T23:49:52+0000,https://www.facebook.com/298166859034_10155966216709035
98,N7eb w kifech ??,positive,2017-12-30T15:56:59+0000,https://www.facebook.com/298166859034_10155966216709035
99,blhy 3lech ma tzidouch el hiwar tounsi fi mtv orange ??,positive,2017-12-30T10:49:53+0000,https://www.facebook.com/298166859034_10155965701899035
100,tbi3ou facilité 9alouli oronge tbiii3 ?!!!!,positive,2017-12-30T14:25:25+0000,https://www.facebook.com/298166859034_10155965701899035
101,"اقسم بالله حرام كل فلس بندفعه الكم 
مش حرام انترنت هيك سرعته ؟؟",negative,2017-12-30T17:32:16+0000,https://www.facebook.com/298166859034_10155965701899035
102,slm cv brabi matbi3ech orange belfacilite,positive,2017-12-30T14:13:36+0000,https://www.facebook.com/298166859034_10155965701899035
103,les règles de participer au jeux merci,positive,2017-12-30T20:56:52+0000,https://www.facebook.com/298166859034_10155965701899035
104,بربي شوفولنا حكاية الريزو,negative,2017-12-30T15:41:24+0000,https://www.facebook.com/298166859034_10155965701899035
105,"prix iphone 5s 
w iphone 6 svp",positive,2017-12-30T22:12:23+0000,https://www.facebook.com/298166859034_10155965701899035
106,9adech dof3a 1,positive,2017-12-30T18:33:25+0000,https://www.facebook.com/298166859034_10155965701899035
107,kifh naaml bach nichri tlf ( bl point ??),positive,2017-12-31T07:12:02+0000,https://www.facebook.com/298166859034_10155965701899035
108,kifeh ta3ref l poine blhi,positive,2017-12-30T20:30:33+0000,https://www.facebook.com/298166859034_10155965701899035
109,merci orange pour le tèlèphone <3 <3,positive,2017-12-30T12:03:20+0000,https://www.facebook.com/298166859034_10155965701899035
110,bl facilité,positive,2017-12-30T11:24:58+0000,https://www.facebook.com/298166859034_10155965701899035
111,prix svp💕💕,positive,2017-12-30T13:54:21+0000,https://www.facebook.com/298166859034_10155965701899035
112,prix svp 💓,positive,2017-12-30T12:01:37+0000,https://www.facebook.com/298166859034_10155965701899035
113,prix stp,positive,2017-12-30T10:52:17+0000,https://www.facebook.com/298166859034_10155965701899035
114,prix,positive,2017-12-30T10:43:49+0000,https://www.facebook.com/298166859034_10155965701899035
115,"bonsoir svp votre boutique orange av tayeb hachicha msaken c,est officiel ou une copie car j'ai acheté un smartphone j3 samsung  n,est pas original",positive,2018-01-01T20:48:24+0000,https://www.facebook.com/298166859034_10155965701899035
116,نجيب معايا مفاتح دارنا؟ 😂,positive,2017-12-30T10:35:46+0000,https://www.facebook.com/298166859034_10155965701899035
117,où le boutik orange et le prix de cette téléphone please,positive,2017-12-31T19:48:12+0000,https://www.facebook.com/298166859034_10155965701899035
118,dezzou fazetkom w ykoun cadeau lel 3am ejdid ? :p why not ? <3,positive,2017-12-30T10:04:29+0000,https://www.facebook.com/298166859034_10155965701899035
119,9albi sa8ir le yeta7amel 😐😢,positive,2018-01-01T18:59:40+0000,https://www.facebook.com/298166859034_10155965701899035
120,kén bléch hani jéya,positive,2017-12-30T10:43:00+0000,https://www.facebook.com/298166859034_10155965701899035
121,"søuhęila b'azîzã rihab ben hmida
jarebt gbalkom w chay ta ta3you wentom terb7ou hhhhh eli zahrou bel mrama ymout fi stal ba8li wjouhna mech mta3 reb7 😂 hhhhhh",negative,2017-12-29T19:55:40+0000,https://www.facebook.com/298166859034_10155963593724035
122,"مرض الهوى ق-اتلني واش اداويني واش اداويني كرهتوني في حياتي كان الكذب في بالكم 2018 باهية ماي تتعددى كللي فاتو ايعتيكم بعزى  واش تفلموا 
مرض الهوى قاتلني في 2018 نتمنى توفى حياتي بروا بروا زمرووووا ماعيني في تليفونكم عارفكم تفلموا داززين فيها خراديق وانتم حتى الرحمة ماتعرفوهاش ب 2018 تو ترحموا مالا هاو ف بالي بللي انتم باهين والله كنقلب جد امها توللي 8102 لاكم عاطينوا تليفون",negative,2017-12-29T20:55:46+0000,https://www.facebook.com/298166859034_10155963593724035
123,ها نحن ودعنا عاماً ونستقبل أخر جديدا 2018ً، نسأل الله المغفرة عما سلف ومضى والهداية والتوفيق فيما نستقبل، إنما هذه الحياة كدارٍ يدخلها المرء من باب ويخرج من الباب الآخر إنها كظل شجرة يقيل فيه المرء ثم سرعان ما يستيقظ، ألا ترون كيف تنصرم أيامها، وكيف تنقضي أعوامها، وإنما هي نفس واحدة لها فرصة واحدة فانظروا أين توضع هذه النفس وفي أي اتجاه تمضي هذه الفرصة,negative,2017-12-29T23:27:40+0000,https://www.facebook.com/298166859034_10155963593724035
124,"و انا خذيت و طلع التاليفون مكسر  و رجعتو مرتين للضمان و في الاخير تاليفون مكسر و قالولي استعمل الخط في تاليفون اخر 
مالا انا علاش شريته التاليفون 
بالغش كسر التاليفون و الخط و توا قالولي مسالة انت حق التاليفون بالله كيف يوصلوها للامم المتحدة و اهوكا صاحب البوتيك في بالي ما خصر عليا كان الله غالب اختي من زهرك الكعبة مكسرة الي خذيتها",negative,2017-12-31T08:44:45+0000,https://www.facebook.com/298166859034_10155962824969035
125,blhi ya orange est ce que enajem na5tar numero nbda na7ki m3h gratuit,positive,2017-12-31T06:03:40+0000,https://www.facebook.com/298166859034_10155962824969035
126,انجم ناخذ تلفون بالتقصيط والضمان بطاقة التعريف والا عن طريق البلدية ؟؟ ارجو الرد فورا,positive,2017-12-30T18:44:29+0000,https://www.facebook.com/298166859034_10155962824969035
127,انا واخذمنها عن طريق الودادية متع وزارة التربيةيقولك الانترنات مجاني وشهر كامل ويعطوك اسبوع ويقسو عليك,negative,2017-12-30T10:42:18+0000,https://www.facebook.com/298166859034_10155962824969035
128,6 go injecté chaque mois pendant 12 mois yetsabo automatiquement walla yelzem netahlek flous bach na5'o bonus,positive,2017-12-29T14:12:03+0000,https://www.facebook.com/298166859034_10155962824969035
129,"orange
عندي خط كرهتوني فيه و في اورنج و باش نبدل منكم.
في نصف ساعة قصيت انترنات لحظات و دون ان استتمل الانترنات جاني مساج اللي ميغاوات كملوا.
و ديما تحصلي , اتصلت مرارا بال 1150 و يوعدوني باش تتصلح دون جدوى.
حتى 6go
شكون يضمنلي ما تقصوهاليش في اسبوع و تقلي وفت!!!!",negative,2017-12-29T18:31:45+0000,https://www.facebook.com/298166859034_10155962824969035
130,عندي رقم اورنج نصب فيه فلوس ديما تتنحي ونصب كارطة خمسة تجيني خمسة بونيس وفيسع ينحوها شنو حل,negative,2017-12-31T09:56:00+0000,https://www.facebook.com/298166859034_10155962824969035
131,slm brabi ana m3dya forfait.orange w.rigelt.paramétre mais ma7betch timchi internet fi talifouni kifech n3mel brabi,positive,2017-12-31T08:44:47+0000,https://www.facebook.com/298166859034_10155962824969035
132,نحب نعرف علاش كي يوفا الفورفاي متاع الانترنات يمشيو ديراكت يقصولك مالصولد؟ ماو فا اكهو موش تبعثلي ميساج و تمشيو جرية للصولد. هذي اسمها تحيل.,negative,2017-12-30T15:37:09+0000,https://www.facebook.com/298166859034_10155962824969035
133,نحب نعرف علاش كي يوفا الفورفاي متاع الانترنات يمشيو ديراكت يقصولك مالصولد؟ ماو فا اكهو موش تبعثلي ميساج و تمشيو جرية للصولد. هذي اسمها تحيل.,negative,2017-12-30T14:48:03+0000,https://www.facebook.com/298166859034_10155962824969035
134,تحياتي الي orange جيبونا الجديد وعطيونا الانترنات بلاش في العام الجديد  .نصب كرطاه بي  خمس لاف تتنحه في لحظ مغير منقص بيها الأنترنات  علاش بربي     وشكرن,positive,2017-12-30T11:12:37+0000,https://www.facebook.com/298166859034_10155962824969035
135,orange j ai acheté un forfait internet 700 méga 3000 dt ont été débité de mon solde sans avoir internet,negative,2017-12-29T21:13:02+0000,https://www.facebook.com/298166859034_10155962824969035
136,orange 3amlouna mise à jour lel jeu super tounsi mazel bloqué niveau 4 mayethalach,negative,2017-12-30T16:03:11+0000,https://www.facebook.com/298166859034_10155962824969035
137,ana 3andi airbox bil fatour jim3a w9aset mnha lfloss 10   gg mala,negative,2017-12-30T18:20:43+0000,https://www.facebook.com/298166859034_10155962824969035
138,انجم نشري عن طريق ودادية وزارة التربية؟,positive,2017-12-29T14:09:39+0000,https://www.facebook.com/298166859034_10155962824969035
139,belehi fahmouni hkeyet elpack chnawa hethi,positive,2017-12-31T01:45:25+0000,https://www.facebook.com/298166859034_10155962824969035
140,nheb ne5ou telf bil facileté chnowa fama des ofres,positive,2017-12-31T18:13:49+0000,https://www.facebook.com/298166859034_10155962824969035
141,بربي music blayt نحب نلغاها كيفاش راني كرهت الخط من جرتها,negative,2017-12-30T17:32:47+0000,https://www.facebook.com/298166859034_10155962824969035
142,قداش فلوس بالله,positive,2017-12-31T13:33:19+0000,https://www.facebook.com/298166859034_10155962824969035
143,slm brabi nheb na5ou telf bil facilite chnawa lazem,positive,2017-12-31T13:46:10+0000,https://www.facebook.com/298166859034_10155962824969035
144,chno kayn f riseu wifi mbghach ykhdm???,negative,2017-12-29T12:41:31+0000,https://www.facebook.com/298166859034_10155962824969035
145,ninja7 fi 9rayti wm3aha talifone mo3tabar,negative,2017-12-31T10:27:57+0000,https://www.facebook.com/298166859034_10155961141829035
146,nerba7 7aja men 3and oronge kima taliphone,positive,2017-12-31T10:25:55+0000,https://www.facebook.com/298166859034_10155961141829035
147,talifouni tkasir  nitmana yjini talifoun akhir sayha,positive,2017-12-30T11:24:33+0000,https://www.facebook.com/298166859034_10155961141829035
